stock1,stock2,sector,p_value,hedge_ratio,cointegrated
ABBV,COR,Health Care,0.012485429206394503,0.523162705276527,True
ABT,BDX,Health Care,0.0016292473336836063,-0.35593117409690966,True
ABT,BIIB,Health Care,0.04130908942147847,-0.11919360254577925,True
ABT,CNC,Health Care,0.02763067979658299,-0.48048508815705915,True
ABT,ELV,Health Care,0.021580530081976308,-0.09871426289648444,True
ALGN,CRL,Health Care,0.030660339697871644,2.051738548634651,True
ALGN,TECH,Health Care,0.03769930997005616,7.54661971420587,True
AMGN,COR,Health Care,0.04881935614736928,0.5381079617154801,True
BDX,BSX,Health Care,0.015853401668447883,-0.549498373011457,True
BDX,CAH,Health Care,0.02707760157240054,-0.31136205893743857,True
BDX,CNC,Health Care,0.021939638493242875,0.9423900785923849,True
BDX,COR,Health Care,0.031198075092526246,-0.17585593566370253,True
CI,CRL,Health Care,0.0382268740396978,-0.4243637634731818,True
CI,EW,Health Care,0.00885522347558474,-1.9762029569004094,True
CI,TECH,Health Care,0.00828691081903093,-1.7209696533577417,True
CRL,TECH,Health Care,0.040824780710835444,3.5286585836757087,True
EW,TECH,Health Care,0.0467179910067172,0.6439243975230226,True
AAPL,ANET,Information Technology,0.00780120012015776,1.002757616724642,True
ADI,ANET,Information Technology,0.01677093643578227,0.8812778985427016,True
ADI,APH,Information Technology,0.022207210179318187,1.1291025678194144,True
ADI,AVGO,Information Technology,0.01390746744788027,0.3475955247206173,True
APP,CSCO,Information Technology,0.006191419676556443,17.73931610241837,True
CTSH,DDOG,Information Technology,0.04686359158918241,0.19168454888589345,True
AFL,APO,Financials,0.045089959998928036,0.5640869247813888,True
AFL,ARES,Financials,0.009118504460410272,0.4859932478093391,True
AFL,CB,Financials,0.04635317899244083,0.46457055101670686,True
AIG,ALL,Financials,0.04093014332411542,0.32475677004429204,True
AIG,AMP,Financials,0.029573738593509046,0.11831739726379072,True
AIG,APO,Financials,0.012864813935587279,0.31837373255165946,True
AIG,ARES,Financials,0.004907363478590704,0.2766229416761563,True
AIG,BRK-B,Financials,0.019034828167647608,0.14869308610190257,True
AIG,CB,Financials,0.029375436390819624,0.2703277700166164,True
AMP,APO,Financials,0.0005050002223186219,2.7380555817383967,True
AMP,ARES,Financials,0.0011956525756758461,2.324318853114505,True
AMP,BRK-B,Financials,0.0007092999304743912,1.1806427025371853,True
AON,APO,Financials,0.027333064447761356,0.9601986862780262,True
AON,ARES,Financials,0.028275861743461122,0.831370735808002,True
APO,ARES,Financials,0.01768007257827817,0.8343445819390226,True
ARES,BRK-B,Financials,0.0019348111507929686,0.49753407921850357,True
ARES,CB,Financials,0.019608170058122678,0.8843317718657889,True
ARES,CBOE,Financials,0.04742645867350752,0.8556907181155886,True
AXP,CINF,Financials,0.01390519221396139,3.047386519044144,True
BK,CINF,Financials,0.01917741161279639,0.9772445441386236,True
BLK,COF,Financials,0.0003081644121019895,3.8176580050152347,True
BRK-B,CB,Financials,0.04292085498676834,1.7418491554878708,True
CINF,CME,Financials,0.0492213461028357,0.5180584531595993,True
CINF,COF,Financials,0.038648389839900876,0.4769546500561736,True
ADM,DLTR,Consumer Staples,0.0298096026336287,0.30368800135501134,True
BF-B,COST,Consumer Staples,0.006097733382460668,-0.06012486892170636,True
BF-B,KO,Consumer Staples,0.013448984480516872,-1.6161852012080227,True
BF-B,MO,Consumer Staples,0.04569267064175673,-1.3785253482722024,True
CHD,DG,Consumer Staples,0.045874901246012366,-0.12231608379877869,True
CLX,STZ,Consumer Staples,0.04782139256395868,0.18565798490381674,True
CTRA,CVX,Energy,0.011787638828512293,0.16418923739572208,True
CTRA,EOG,Energy,0.04399935321464213,0.1806447906315887,True
EQT,EXE,Energy,0.0250309926011434,0.5494822736542943,True
