pair,count,windows,persistence_rate
BDX/COR,4,"[10, 11, 13, 17]",22.22222222222222
COR/DVA,3,"[3, 4, 5]",16.666666666666664
CAH/DXCM,3,"[5, 7, 8]",16.666666666666664
BF-B/MO,3,"[11, 12, 13]",16.666666666666664
CAH/CI,2,"[8, 9]",11.11111111111111
AXP/BRO,2,"[4, 5]",11.11111111111111
CAH/CRL,2,"[4, 5]",11.11111111111111
CAG/STZ,2,"[5, 6]",11.11111111111111
ADSK/CDW,2,"[5, 14]",11.11111111111111
ADI/EPAM,2,"[5, 6]",11.11111111111111
APA/EOG,2,"[6, 12]",11.11111111111111
BDX/DXCM,2,"[6, 10]",11.11111111111111
ABT/DHR,2,"[7, 8]",11.11111111111111
BDX/CVS,2,"[8, 10]",11.11111111111111
AMP/AXP,2,"[0, 2]",11.11111111111111
ACN/ANET,2,"[3, 4]",11.11111111111111
ACGL/EG,2,"[11, 12]",11.11111111111111
COP/DVN,2,"[11, 17]",11.11111111111111
CLX/KO,2,"[11, 12]",11.11111111111111
CAG/CPB,2,"[13, 17]",11.11111111111111
ACN/CTSH,2,"[15, 16]",11.11111111111111
ANET/AVGO,2,"[15, 16]",11.11111111111111
BRK-B/BRO,2,"[16, 17]",11.11111111111111
EG/ERIE,2,"[16, 17]",11.11111111111111
EG/XYZ,2,"[16, 17]",11.11111111111111
EG/SCHW,2,"[16, 17]",11.11111111111111
BDX/CNC,2,"[3, 4]",11.11111111111111
BDX/CI,2,"[8, 10]",11.11111111111111
CNC/CRL,2,"[1, 2]",11.11111111111111
ADI/CDW,2,"[2, 3]",11.11111111111111
ABT/CNC,2,"[2, 3]",11.11111111111111
ADBE/CDNS,2,"[0, 2]",11.11111111111111
CLX/DLTR,1,[12],5.555555555555555
ACN/ADBE,1,[14],5.555555555555555
ALGN/ELV,1,[13],5.555555555555555
BF-B/DG,1,[13],5.555555555555555
ADI/CDNS,1,[13],5.555555555555555
AMAT/CSCO,1,[13],5.555555555555555
BF-B/CAG,1,[13],5.555555555555555
COST/MO,1,[13],5.555555555555555
BX/COF,1,[13],5.555555555555555
BDX/BIIB,1,[12],5.555555555555555
ABBV/COR,1,[12],5.555555555555555
APA/CVX,1,[12],5.555555555555555
CLX/DG,1,[12],5.555555555555555
ADSK/APH,1,[14],5.555555555555555
AFL/EG,1,[12],5.555555555555555
BF-B/KO,1,[11],5.555555555555555
AXP/BX,1,[0],5.555555555555555
CB/EG,1,[11],5.555555555555555
AAPL/ANET,1,[11],5.555555555555555
CI/ELV,1,[1],5.555555555555555
ARES/BX,1,[11],5.555555555555555
BIIB/DXCM,1,[1],5.555555555555555
BX/CBOE,1,[11],5.555555555555555
AMAT/GLW,1,[1],5.555555555555555
BDX/COO,1,[10],5.555555555555555
ADSK/AVGO,1,[14],5.555555555555555
ACN/AKAM,1,[14],5.555555555555555
BDX/ELV,1,[10],5.555555555555555
CFG/SCHW,1,[15],5.555555555555555
CVX/EOG,1,[17],5.555555555555555
EOG/EQT,1,[17],5.555555555555555
AIZ/CME,1,[16],5.555555555555555
BAC/CFG,1,[0],5.555555555555555
APH/AVGO,1,[16],5.555555555555555
EPAM/GLW,1,[0],5.555555555555555
AMP/COF,1,[16],5.555555555555555
BAX/BDX,1,[0],5.555555555555555
ALGN/BAX,1,[16],5.555555555555555
BRO/CME,1,[0],5.555555555555555
DHR/ELV,1,[15],5.555555555555555
AMP/CINF,1,[15],5.555555555555555
ADSK/CDNS,1,[14],5.555555555555555
COP/EOG,1,[15],5.555555555555555
AMAT/AVGO,1,[15],5.555555555555555
APO/BRK-B,1,[15],5.555555555555555
