stock1,stock2,sector,p_value,hedge_ratio,cointegrated
BLK,COF,Financials,0.0003081644121019895,3.8176580050152347,True
AMP,APO,Financials,0.0005050002223186219,2.7380555817383967,True
AMP,BRK-B,Financials,0.0007092999304743912,1.1806427025371853,True
AMP,ARES,Financials,0.0011956525756758461,2.324318853114505,True
ABT,BDX,Health Care,0.0016292473336836063,-0.35593117409690966,True
ARES,BRK-B,Financials,0.0019348111507929686,0.49753407921850357,True
AIG,ARES,Financials,0.004907363478590704,0.2766229416761563,True
BF-B,COST,Consumer Staples,0.006097733382460668,-0.06012486892170636,True
APP,CSCO,Information Technology,0.006191419676556443,17.73931610241837,True
AAPL,ANET,Information Technology,0.00780120012015776,1.002757616724642,True
CI,TECH,Health Care,0.00828691081903093,-1.7209696533577417,True
CI,EW,Health Care,0.00885522347558474,-1.9762029569004094,True
AFL,ARES,Financials,0.009118504460410272,0.4859932478093391,True
CTRA,CVX,Energy,0.011787638828512293,0.16418923739572208,True
ABBV,COR,Health Care,0.012485429206394503,0.523162705276527,True
AIG,APO,Financials,0.012864813935587279,0.31837373255165946,True
BF-B,KO,Consumer Staples,0.013448984480516872,-1.6161852012080227,True
AXP,CINF,Financials,0.01390519221396139,3.047386519044144,True
ADI,AVGO,Information Technology,0.01390746744788027,0.3475955247206173,True
BDX,BSX,Health Care,0.015853401668447883,-0.549498373011457,True
