window,train_start,train_end,test_start,test_end,n_pairs,return,sharpe,is_crisis
1,2015-01-02,2017-01-02,2017-01-02,2017-07-02,10,-0.06932337391145793,-2.217097515676771,False
2,2015-07-02,2017-07-02,2017-07-02,2018-01-02,10,0.10084906796799298,1.6104169415079448,False
3,2016-01-02,2018-01-02,2018-01-02,2018-07-02,10,-0.00014381126017448675,0.09676580169192114,False
4,2016-07-02,2018-07-02,2018-07-02,2019-01-02,10,0.01807372928947082,0.9792806121923556,False
5,2017-01-02,2019-01-02,2019-01-02,2019-07-02,10,-0.04133859259768946,-0.7426426733591455,False
6,2017-07-02,2019-07-02,2019-07-02,2020-01-02,10,-0.04889408959836883,-1.6624034500644946,False
7,2018-01-02,2020-01-02,2020-01-02,2020-07-02,10,0.016884971889975953,1.414213562373095,True
8,2018-07-02,2020-07-02,2020-07-02,2021-01-02,10,0.039639390207204306,2.3369311508049493,True
9,2019-01-02,2021-01-02,2021-01-02,2021-07-02,10,-0.00836600443313218,-0.8493279259732018,False
10,2019-07-02,2021-07-02,2021-07-02,2022-01-02,10,-0.005844912109247424,-0.33370377115328703,False
11,2020-01-02,2022-01-02,2022-01-02,2022-07-02,10,0.018939100957956034,1.140740863855843,True
12,2020-07-02,2022-07-02,2022-07-02,2023-01-02,10,0.03454740871978901,1.8950122612407516,True
13,2021-01-02,2023-01-02,2023-01-02,2023-07-02,10,-0.016495789609811462,-1.2373650739435749,False
14,2021-07-02,2023-07-02,2023-07-02,2024-01-02,10,0.057551413254728345,1.2183151997158483,False
15,2022-01-02,2024-01-02,2024-01-02,2024-07-02,10,-0.07283864157025166,-1.5285944438948162,False
16,2022-07-02,2024-07-02,2024-07-02,2025-01-02,10,0.03099283605148684,0.8789064340694938,False
17,2023-01-02,2025-01-02,2025-01-02,2025-07-02,10,-0.011097042844248062,-1.043592698171815,False
18,2023-07-02,2025-07-02,2025-07-02,2026-01-02,10,0.023075721487205048,1.2102220886784765,False
